category	rank	show_title	season_title	hours_viewed_first_91_days	runtime	views_first_91_days
Films (English)	1	KPop Demon Hunters	N/A	541800000	1.6667	325100000
Films (English)	2	Red Notice	N/A	454200000	1.9667	230900000
Films (English)	3	Carry-On	N/A	344100000	2	172100000
Films (English)	4	Don't Look Up	N/A	408600000	2.3833	171400000
Films (English)	5	The Adam Project	N/A	281000000	1.7833	157600000
Films (English)	6	Bird Box	N/A	325300000	2.0667	157400000
Films (English)	7	Back in Action	N/A	279700000	1.9	147200000
Films (English)	8	Leave the World Behind	N/A	339300000	2.3667	143400000
Films (English)	9	The Gray Man	N/A	299500000	2.15	139300000
Films (English)	10	Damsel	N/A	253000000	1.8333	138000000
Films (Non-English)	1	Troll	N/A	178600000	1.7333	103000000
Films (Non-English)	2	Under Paris	N/A	177300000	1.7333	102300000
Films (Non-English)	3	Society of the Snow	N/A	239700000	2.4333	98500000
Films (Non-English)	4	Exterritorial	N/A	166500000	1.8167	91700000
Films (Non-English)	5	Nowhere	N/A	155600000	1.8167	85700000
Films (Non-English)	6	The Great Flood	N/A	152100000	1.8167	83700000
Films (Non-English)	7	The Platform	N/A	129700000	1.5667	82800000
Films (Non-English)	8	Counterattack	N/A	94800000	1.4167	66900000
Films (Non-English)	9	Ad Vitam	N/A	103000000	1.6333	63100000
Films (Non-English)	10	Brick	N/A	104000000	1.6833	61800000
TV (English)	1	Wednesday	Wednesday: Season 1	1718800000	6.8167	252100000
TV (English)	2	Adolescence	Adolescence: Limited Series	546500000	3.8333	142600000
TV (English)	3	Stranger Things	Stranger Things 4	1838000000	13.0667	140700000
TV (English)	4	Stranger Things	Stranger Things 5	1352200000	10.4	130000000
TV (English)	5	Wednesday	Wednesday: Season 2	928500000	7.7833	119300000
TV (English)	6	DAHMER	DAHMER: Monster: The Jeffrey Dahmer Story	1031100000	8.9167	115600000
TV (English)	7	Bridgerton	Bridgerton: Season 1	929300000	8.2	113300000
TV (English)	8	The Queen's Gambit	The Queen's Gambit: Limited Series	746400000	6.6167	112800000
TV (English)	9	Bridgerton	Bridgerton: Season 3	846500000	7.9833	106000000
TV (English)	10	The Night Agent	The Night Agent: Season 1	803200000	8.1833	98200000
TV (Non-English)	1	Squid Game	Squid Game: Season 1	2205200000	8.3167	265200000
TV (Non-English)	2	Squid Game	Squid Game: Season 2	1380100000	7.1667	192600000
TV (Non-English)	3	Squid Game	Squid Game: Season 3	894300000	6.1333	145800000
TV (Non-English)	4	Money Heist	Money Heist: Part 4	710200000	6.7	106000000
TV (Non-English)	5	Lupin	Lupin: Part 1	396300000	3.9833	99500000
TV (Non-English)	6	Money Heist	Money Heist: Part 5	900700000	9.0833	99200000
TV (Non-English)	7	Money Heist	Money Heist: Part 3	519800000	6.5	80000000
TV (Non-English)	8	La Palma	La Palma: Limited Series	215700000	3.0667	70300000
TV (Non-English)	9	Lupin	Lupin: Part 2	258900000	3.7833	68400000
TV (Non-English)	10	Who Killed Sara?	Who Killed Sara?: Season 1	392400000	6.7167	58400000