show_title,season_title,category,lang_label,total_weeks,first_week,last_week,entry_rank,best_rank,exit_rank,avg_rank,max_cumulative
Love to Hate You,Love to Hate You: Season 1,TV,Korean,3,2023-03-05,2023-03-19,9,9,10,9.666666666666666,5
Marry YOU,Marry YOU: Limited Series,TV,Korean,2,2024-11-24,2024-12-01,10,9,9,9.5,2
Mask Girl,Mask Girl: Limited Series,TV,Korean,8,2023-08-20,2023-10-08,1,1,10,4.0,8
Melo Movie,Melo Movie: Limited Series,TV,Korean,5,2025-02-16,2025-03-16,2,1,8,4.0,5
Mercy For None,Mercy For None: Limited Series,TV,Korean,6,2025-06-08,2025-07-13,1,1,9,3.5,6
Military Prosecutor Doberman,Military Prosecutor Doberman: Limited Series,TV,Korean,2,2024-05-05,2024-05-12,7,7,8,7.5,2
Miraculous Brothers,Miraculous Brothers: Season 1,TV,Korean,2,2023-09-17,2023-09-24,8,8,10,9.0,2
Miss Night and Day,Miss Night and Day: Limited Series,TV,Korean,10,2024-06-16,2024-08-18,5,1,9,3.1,10
Moo No Plan,Moo No Plan: Season 1,TV,Korean,4,2024-02-25,2024-03-17,5,5,9,8.0,4
Mr. Plankton,Mr. Plankton: Limited Series,TV,Korean,6,2024-11-10,2024-12-15,6,1,10,5.5,6
Mr. Queen,Mr. Queen: Limited Series,TV,Korean,7,2023-03-05,2023-04-16,2,2,10,6.0,9
Mr. Sunshine,Mr. Sunshine: Season 1,TV,Korean,6,2023-03-05,2023-04-23,10,8,10,8.833333333333334,23
Music Adventure by Accident,Music Adventure by Accident: Season 1,TV,Korean,4,2024-08-25,2024-09-15,5,4,10,6.25,4
My Demon,My Demon: Limited Series,TV,Korean,10,2023-11-26,2024-01-28,3,3,8,4.6,10
My Grumpy Secretary,My Grumpy Secretary 2025,TV,Korean,8,2025-10-05,2025-11-23,10,3,10,6.875,8
My Happy Ending,My Happy Ending: Season 1,TV,Korean,6,2024-01-07,2024-02-11,4,4,8,5.333333333333333,6
My Happy Marriage,My Happy Marriage: Season 1,TV,Japanese,12,2023-07-23,2023-08-27,8,7,10,8.666666666666666,6
My SL Partner,My SL Partner: Season 1,TV,Korean,5,2023-06-25,2023-07-23,6,6,9,7.4,5
My Sweet Mobster,My Sweet Mobster: Season 1,TV,Korean,3,2024-08-25,2024-09-08,10,9,10,9.666666666666666,3
Night Has Come,Night Has Come: Limited Series,TV,Korean,4,2023-12-10,2023-12-31,4,4,7,5.25,4
No Mercy,No Mercy: Season 1,TV,Korean,4,2026-01-04,2026-01-11,4,4,9,6.5,2
No Tail to Tell,No Tail to Tell: Limited Series,TV,Korean,4,2026-01-18,2026-02-08,3,3,7,4.5,4
ONE PIECE,ONE PIECE: Season 1,TV,English,3,2023-09-03,2023-09-17,6,4,6,5.333333333333333,3
Oh My Ghost Clients,Oh My Ghost Clients: Season 1,TV,Korean,6,2025-06-01,2025-07-06,3,3,4,3.8333333333333335,6
Our Unwritten Seoul,Our Unwritten Seoul: Limited Series,TV,Korean,8,2025-06-01,2025-07-20,1,1,9,3.875,8
Paik's Les Misérables,Paik's Les Misérables: Season 1,TV,Korean,4,2024-12-08,2024-12-29,5,5,10,7.0,4
Parasyte: The Grey,Parasyte: The Grey: Limited Series,TV,Korean,6,2024-04-07,2024-05-12,1,1,10,3.5,6
Parole Examiner Lee,Parole Examiner Lee: Limited Series,TV,Korean,6,2024-11-24,2024-12-29,1,1,7,4.166666666666667,6
Perfect Marriage Revenge,Perfect Marriage Revenge: Limited Series,TV,Korean,4,2023-11-05,2023-11-26,8,6,9,7.75,4
Physical: 100,Physical: 100: Season 2,TV,Korean,5,2024-03-24,2024-04-21,1,1,6,3.2,5
Physical: Asia,Physical: Asia: Season 1,TV,Korean,4,2025-11-02,2025-11-23,2,2,4,3.25,4
Positively Yours,Positively Yours: Season 1,TV,Korean,2,2026-01-25,2026-02-01,8,8,9,8.5,2
Pro Bono,Pro Bono: Limited Series,TV,Korean,6,2025-12-14,2026-01-18,3,3,7,5.166666666666667,6
Queen Mantis,Queen Mantis: Season 1,TV,Korean,6,2025-09-07,2025-10-12,2,1,9,3.1666666666666665,6
Queen of Divorce,Queen of Divorce: Season 1,TV,Korean,3,2024-06-16,2024-06-30,10,5,9,8.0,3
Queen of Masks,Queen of Masks: Season 1,TV,Korean,8,2023-04-30,2023-06-18,9,5,9,6.75,8
Queen of Tears,Queen of Tears: Limited Series,TV,Korean,13,2024-03-10,2024-06-02,2,1,9,3.230769230769231,13
Queenmaker,Queenmaker: Season 1,TV,Korean,6,2023-04-16,2023-05-21,1,1,8,3.0,6
Red Balloon,Red Balloon: Season 1,TV,Other,2,2023-03-05,2023-03-12,3,3,7,5.0,10
Resident Playbook,Resident Playbook: Limited Series,TV,Korean,9,2025-04-13,2025-06-08,5,1,9,4.111111111111111,9
Risqué Business: Japan,Risqué Business: Japan: Season 1,TV,Korean,2,2023-04-30,2023-05-07,4,4,9,6.5,2
Risqué Business: The Netherlands and Germany,Risqué Business: The Netherlands and Germany: Season 1,TV,Korean,2,2024-02-25,2024-03-03,2,2,5,3.5,2
Romance in the House,Romance in the House: Limited Series,TV,Korean,7,2024-08-11,2024-09-22,6,2,7,4.857142857142857,7
Romantics Anonymous,Romantics Anonymous: Season 1,TV,Japanese,3,2025-10-19,2025-11-02,7,6,10,7.666666666666667,3
SAKAMOTO DAYS,SAKAMOTO DAYS: Season 1,TV,Japanese,11,2025-01-19,2025-03-30,3,3,9,6.090909090909091,11
SPY x FAMILY,SPY x FAMILY: Season 2,TV,Japanese,3,2023-10-15,2023-10-29,6,6,9,7.333333333333333,3
Screwballs,Screwballs: Season 1,TV,English,4,2025-03-02,2025-03-23,2,2,10,5.75,4
See You in My 19th Life,See You in My 19th Life: Limited Series,TV,Korean,7,2023-06-18,2023-07-30,7,3,7,4.714285714285714,7
Sergeant Kim at Military,Sergeant Kim at Military: Season 1,TV,Korean,2,2026-02-08,2026-02-15,2,2,6,4.0,2
Single’s Inferno,Single’s Inferno: Season 3,TV,Korean,5,2023-12-17,2024-01-14,1,1,2,1.8,5
Single’s Inferno,Single’s Inferno: Season 4,TV,Korean,5,2025-01-19,2025-02-16,1,1,3,2.0,5
Single’s Inferno,Single’s Inferno: Season 5,TV,Korean,4,2026-01-25,2026-02-15,2,1,3,1.75,4
Siren: Survive the Island,Siren: Survive the Island: Limited Series,TV,Korean,3,2023-06-04,2023-06-18,9,4,6,6.333333333333333,3
Soju Rhapsody,Soju Rhapsody: Season 1,TV,Korean,2,2025-01-26,2025-02-02,6,5,5,5.5,2
Solo Leveling,Solo Leveling: Season 1,TV,Japanese,19,2024-01-14,2025-04-06,5,5,8,6.842105263157895,19
Song of the Bandits,Song of the Bandits: Season 1,TV,Korean,5,2023-09-24,2023-10-22,1,1,9,3.4,5
Squid Game,Squid Game: Season 1,TV,Korean,3,2024-12-29,2025-01-12,5,4,7,5.333333333333333,19
Squid Game,Squid Game: Season 2,TV,Korean,9,2024-12-29,2025-07-06,1,1,7,4.666666666666667,9
Squid Game,Squid Game: Season 3,TV,Korean,6,2025-06-29,2025-08-03,1,1,10,4.166666666666667,6
Stranger Things,Stranger Things 5,TV,English,3,2025-11-30,2026-01-04,8,8,9,9.0,3
Strong Girl Bong-soon,Strong Girl Bong-soon: Season 1,TV,Korean,2,2023-10-22,2023-10-29,8,8,10,9.0,2
Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,TV,Korean,9,2023-10-08,2023-12-03,3,1,10,3.7777777777777777,9
Supacell,Supacell: Season 1,TV,English,2,2024-07-07,2024-07-14,6,6,10,8.0,2
Sweet Home,Sweet Home: Season 1,TV,Korean,4,2023-12-10,2024-08-04,8,7,8,7.75,4
Sweet Home,Sweet Home: Season 2,TV,Korean,7,2023-12-03,2024-08-04,1,1,5,4.857142857142857,7
Sweet Home,Sweet Home: Season 3,TV,Korean,5,2024-07-21,2024-08-18,1,1,7,3.2,5
Tale of the Nine Tailed,Tale of the Nine Tailed: Limited Series,TV,Korean,5,2023-05-14,2023-06-11,6,4,8,5.4,7
Tastefully Yours,Tastefully Yours: Limited Series,TV,Korean,6,2025-05-18,2025-06-22,1,1,6,3.3333333333333335,6
Taxi Driver,Taxi Driver: Season 1,TV,Korean,5,2025-07-06,2025-11-30,10,3,9,7.4,5
Taxi Driver,Taxi Driver: Season 2,TV,Korean,2,2025-07-13,2025-07-20,7,7,7,7.0,2
Taxi Driver,Taxi Driver: Season 3,TV,Korean,9,2025-11-23,2026-01-18,1,1,6,2.7777777777777777,9
Teenage Parents,Teenage Parents: Season 5,TV,Korean,2,2024-06-09,2024-06-16,6,6,8,7.0,2
The 8 Show,The 8 Show: Limited Series,TV,Korean,8,2024-05-19,2024-07-07,2,1,10,4.25,8
The Apothecary Diaries,The Apothecary Diaries: Season 2,TV,Japanese,4,2025-01-19,2025-02-09,7,7,10,8.75,4
The Atypical Family,The Atypical Family: Limited Series,TV,Korean,8,2024-05-05,2024-06-23,4,1,10,3.875,8
The Ballad of Us,The Ballad of Us 2025,TV,Korean,7,2025-09-28,2025-11-09,6,4,8,5.428571428571429,7
The Bequeathed,The Bequeathed: Limited Series,TV,Korean,5,2024-01-21,2024-02-18,1,1,7,3.0,5
The Devil's Plan,The Devil's Plan: Season 1,TV,Korean,4,2023-10-01,2023-10-22,2,1,6,2.75,4
The Devil's Plan,The Devil's Plan: Season 2,TV,Korean,3,2025-05-11,2025-05-25,3,3,7,4.666666666666667,3
The Dream Life of Mr. Kim,The Dream Life of Mr. Kim: Limited Series,TV,Korean,8,2025-10-26,2025-12-14,3,1,9,3.5,8
The Echoes of Survivors: Inside Korea’s Tragedies,The Echoes of Survivors: Inside Korea’s Tragedies: Season 1,TV,Korean,3,2025-08-17,2025-08-31,3,2,4,3.0,3
The Fisherman and the City,The Fisherman and the City: Season 5,TV,Other,2,2023-09-10,2023-09-17,9,9,9,9.0,2
The Frog,The Frog: Limited Series,TV,Korean,6,2024-08-25,2024-09-29,1,1,10,3.5,6
The Gentlemen,The Gentlemen: Season 1,TV,English,2,2024-03-17,2024-03-24,6,6,10,8.0,2
The Glory,The Glory: Season 1,TV,Korean,11,2023-03-05,2025-06-29,5,1,8,4.181818181818182,20
The Good Bad Mother,The Good Bad Mother: Limited Series,TV,Korean,9,2023-04-30,2023-06-25,5,2,8,3.6666666666666665,9
The Haunted Palace,The Haunted Palace: Season 1,TV,Korean,9,2025-04-20,2025-06-15,5,4,7,5.555555555555555,9
The Hour of the Monster,The Hour of the Monster 2025,TV,Korean,3,2025-11-02,2025-11-16,5,3,7,5.0,3
The Influencer,The Influencer: Season 1,TV,Other,4,2024-08-11,2024-09-01,1,1,10,4.5,4
The Iron Squad,The Iron Squad: : W,TV,Korean,6,2024-10-06,2024-11-17,3,3,10,6.666666666666667,6
The Iron Squad,The Iron Squad: Season 3,TV,Korean,6,2023-09-24,2023-10-29,2,2,8,4.5,6
The Killing Vote,The Killing Vote: Limited Series,TV,Korean,11,2023-08-20,2023-10-29,4,2,6,4.363636363636363,11
The Matchmakers,The Matchmakers: Limited Series,TV,Korean,3,2023-11-05,2023-11-19,5,5,8,6.666666666666667,3
The Night Agent,The Night Agent: Season 1,TV,English,3,2023-03-26,2023-04-09,8,4,6,6.0,3
The Price of Confession,The Price of Confession: Season 1,TV,Korean,5,2025-12-07,2026-01-04,1,1,6,3.0,5
The Summer Hikaru Died,The Summer Hikaru Died: Season 1,TV,Japanese,2,2025-07-13,2025-07-20,8,8,10,9.0,2
The Tale of Lady Ok,The Tale of Lady Ok: Limited Series,TV,Korean,11,2024-12-01,2025-02-09,5,1,5,3.090909090909091,11
The Trauma Code: Heroes on Call,The Trauma Code: Heroes on Call: Season 1,TV,Korean,11,2025-01-26,2025-04-06,1,1,6,3.3636363636363638,11
The Trunk,The Trunk: Limited Series,TV,Korean,4,2024-12-01,2024-12-22,1,1,7,3.0,4
The Uncanny Counter,The Uncanny Counter: Season 1,TV,Korean,2,2023-08-06,2023-08-13,8,8,10,9.0,2
The Uncanny Counter,The Uncanny Counter: Season 2: Counter Punch,TV,Korean,7,2023-07-30,2023-09-10,4,2,5,3.4285714285714284,7
The Whirlwind,The Whirlwind: Limited Series,TV,Other,8,2024-06-30,2024-08-18,2,1,10,4.625,8
The Winning Try,The Winning Try: Limited Series,TV,Korean,6,2025-07-27,2025-08-31,9,3,5,5.666666666666667,6
The Witch,The Witch: Season 1,TV,English,6,2025-02-16,2025-03-23,8,2,3,3.8333333333333335,6
The Witcher,The Witcher: Season 3,TV,English,2,2023-07-02,2023-07-09,10,6,6,8.0,2
Three Idiots in Kenya,Three Idiots in Kenya: Season 1,TV,Korean,4,2025-11-30,2025-12-21,1,1,7,3.5,4
Through the Darkness,Through the Darkness: Limited Series,TV,Korean,3,2025-08-10,2025-08-24,3,3,7,4.666666666666667,3
To My Beloved Thief,To My Beloved Thief: Season 1,TV,Korean,6,2026-01-11,2026-02-15,3,3,8,6.166666666666667,6
Tokyo Swindlers,Tokyo Swindlers: Season 1,TV,Japanese,2,2024-07-28,2024-08-04,10,7,7,8.5,2
Trigger,Trigger: Limited Series,TV,Japanese,5,2025-07-27,2025-08-24,1,1,5,2.2,5
True to Love,True to Love: Limited Series,TV,Korean,2,2023-06-04,2023-06-11,3,3,6,4.5,2
Typhoon Family,Typhoon Family: Limited Series,TV,Korean,9,2025-10-12,2025-12-07,10,1,9,5.444444444444445,9
UNTAMED,UNTAMED: Season 1,TV,English,3,2025-07-20,2025-08-03,5,5,9,6.333333333333333,3
Undercover Miss Hong,Undercover Miss Hong: Limited Series,TV,Korean,5,2026-01-18,2026-02-15,9,3,4,4.4,5
Weak Hero,Weak Hero: Class 1,TV,Korean,8,2025-03-30,2025-05-18,2,2,10,6.125,8
Weak Hero,Weak Hero: Class 2,TV,Korean,5,2025-04-27,2025-05-25,1,1,8,4.4,5
Wednesday,Wednesday: Season 2,TV,English,5,2025-08-10,2025-09-14,4,4,9,6.6,5
Welcome to Samdal-ri,Welcome to Samdal-ri: Limited Series,TV,Korean,10,2023-12-03,2024-02-04,9,2,7,3.7,10
When Life Gives You Tangerines,When Life Gives You Tangerines: Limited Series,TV,Korean,14,2025-03-09,2025-06-22,1,1,8,4.714285714285714,14
When the Phone Rings,When the Phone Rings: Limited Series,TV,Korean,8,2024-11-24,2025-01-12,4,2,6,3.875,8
When the Stars Gossip,When the Stars Gossip: Limited Series,TV,Korean,4,2025-01-05,2025-01-26,9,3,10,7.0,4
World Dice Tour,World Dice Tour: Season 1,TV,Korean,8,2023-03-19,2023-05-07,9,5,8,7.25,8
World Dice Tour,World Dice Tour: Season 3,TV,Korean,5,2025-03-23,2025-05-04,9,3,9,6.8,5
You and Everything Else,You and Everything Else: Limited Series,TV,Korean,7,2025-09-14,2025-10-26,4,2,9,5.571428571428571,7
Yu Yu Hakusho,Yu Yu Hakusho: Season 1,TV,Japanese,2,2023-12-17,2023-12-24,9,7,7,8.0,2
Zom 100: Bucket List of the Dead,Zom 100: Bucket List of the Dead: Season 1,TV,Japanese,4,2023-07-30,2023-08-06,6,6,10,8.0,2
Zombieverse,Zombieverse: New Blood,TV,Korean,3,2024-11-24,2024-12-08,3,3,9,5.333333333333333,3
Zombieverse,Zombieverse: Season 1,TV,Korean,2,2023-08-13,2023-08-20,3,3,6,4.5,2
sorry? not sorry!,sorry? not sorry!: Season 1,TV,Korean,2,2024-12-08,2024-12-15,6,6,8,7.0,2
【OSHI NO KO】,【OSHI NO KO】: Season 1,TV,Japanese,2,2023-06-18,2023-06-25,10,10,10,10.0,2
【OSHI NO KO】,【OSHI NO KO】: Season 2,TV,Japanese,5,2024-07-14,2024-08-11,5,5,10,7.6,5
